# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 14 2024 at 16:52:33+0200
# parameter filename: "TOV_lev3_r12_r10_res.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
# Run ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
290816 213 1.81865018516804e-07 1.81908436142145e-07 1.82405584398902e-07
291328 213.375 1.81943772731579e-07 1.82101095789307e-07 1.82639513013007e-07
291840 213.75 1.82874667355512e-07 1.83074871082224e-07 1.83600912302296e-07
292352 214.125 1.81047583023738e-07 1.81285629080091e-07 1.81840220705853e-07
292864 214.5 1.8044275464814e-07 1.80764825524159e-07 1.8136331879647e-07
293376 214.875 1.80574040863592e-07 1.80961095929231e-07 1.81602482027184e-07
293888 215.25 1.81865023864133e-07 1.82314859662508e-07 1.82945761784388e-07
294400 215.625 1.812929758197e-07 1.8176948740541e-07 1.82425738719194e-07
294912 216 1.79889545836214e-07 1.80425698279651e-07 1.81127085556769e-07
295424 216.375 1.80249432760782e-07 1.80837133699253e-07 1.81539790677288e-07
295936 216.75 1.80328588931418e-07 1.8095491879295e-07 1.81695327290128e-07
296448 217.125 1.8072175190924e-07 1.81360252346378e-07 1.82148457308877e-07
296960 217.5 1.7955533504941e-07 1.80216981224625e-07 1.81058094815827e-07
297472 217.875 1.79577127407867e-07 1.80263008619214e-07 1.81131600019187e-07
297984 218.25 1.7851740789317e-07 1.79198802640212e-07 1.80086876022416e-07
298496 218.625 1.79670290722006e-07 1.80346716986236e-07 1.8124608678681e-07
299008 219 1.79988053174865e-07 1.80645211819135e-07 1.81625537879424e-07
299520 219.375 1.79466596169973e-07 1.80119580494902e-07 1.81112103359159e-07
