# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 14 2024 at 16:52:33+0200
# parameter filename: "TOV_lev3_r12_r10_res.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
# Run ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
#
# HYDROBASE::rho (hydrobase-rho)
# 1:iteration 2:time 3:data
# data columns: 3:rho
204800 150 0.00127782760816973
205312 150.375 0.00127778843359583
205824 150.75 0.00127775176527544
206336 151.125 0.00127771751729338
206848 151.5 0.00127768586673199
207360 151.875 0.00127765683993129
207872 152.25 0.00127763015693391
208384 152.625 0.00127760583174669
208896 153 0.00127758407702419
209408 153.375 0.00127756480220036
209920 153.75 0.0012775478625278
210432 154.125 0.0012775331391603
210944 154.5 0.00127752056972895
211456 154.875 0.00127751035397788
211968 155.25 0.00127750235158866
212480 155.625 0.00127749624271657
212992 156 0.00127749205046086
213504 156.375 0.00127748977724288
214016 156.75 0.00127748930847765
214528 157.125 0.00127749057833668
215040 157.5 0.00127749340270113
215552 157.875 0.00127749760568401
216064 158.25 0.00127750322463798
216576 158.625 0.00127751025161243
217088 159 0.00127751836091443
217600 159.375 0.00127752744868869
218112 159.75 0.00127753757263893
218624 160.125 0.00127754847033527
219136 160.5 0.0012775601073081
219648 160.875 0.00127757245661598
220160 161.25 0.001277585214055
220672 161.625 0.00127759828125733
221184 162 0.00127761168163867
221696 162.375 0.00127762535495201
222208 162.75 0.00127763903232836
222720 163.125 0.00127765263014839
223232 163.5 0.00127766613163927
223744 163.875 0.00127767935565344
224256 164.25 0.00127769232355122
224768 164.625 0.0012777048512864
225280 165 0.00127771682499759
225792 165.375 0.00127772829587311
226304 165.75 0.00127773907869642
226816 166.125 0.00127774914779742
227328 166.5 0.00127775844413579
227840 166.875 0.00127776689534714
228352 167.25 0.00127777446341593
228864 167.625 0.0012777811072952
229376 168 0.00127778678528235
229888 168.375 0.00127779142646648
230400 168.75 0.0012777950999679
230912 169.125 0.00127779770036433
231424 169.5 0.00127779918022966
231936 169.875 0.00127779966994913
232448 170.25 0.00127779911195452
232960 170.625 0.00127779740098219
233472 171 0.00127779455498706
233984 171.375 0.00127779068997258
234496 171.75 0.00127778582507827
235008 172.125 0.00127777988557291
235520 172.5 0.00127777281579393
236032 172.875 0.00127776469534388
236544 173.25 0.00127775561780063
237056 173.625 0.00127774558102116
237568 174 0.00127773453958363
238080 174.375 0.00127772241881512
238592 174.75 0.00127770933203416
239104 175.125 0.00127769539493114
239616 175.5 0.00127768049632936
240128 175.875 0.00127766465837254
240640 176.25 0.00127764787670082
241152 176.625 0.00127763008426935
241664 177 0.00127761148416252
242176 177.375 0.00127759203437128
242688 177.75 0.00127757153358935
243200 178.125 0.00127755011870062
243712 178.5 0.00127752783371641
244224 178.875 0.00127750458206224
244736 179.25 0.00127748041146707
245248 179.625 0.00127745529204915
245760 180 0.00127742910962832
246272 180.375 0.00127740197180575
246784 180.75 0.00127737399200948
247296 181.125 0.00127734485332565
247808 181.5 0.0012773145582651
248320 181.875 0.00127728342261255
248832 182.25 0.00127725120122711
249344 182.625 0.00127721781451878
249856 183 0.00127718340725289
250368 183.375 0.00127714781170435
250880 183.75 0.00127711115260528
251392 184.125 0.00127707355272544
251904 184.5 0.00127703471134592
252416 184.875 0.00127699466139767
252928 185.25 0.00127695372846126
253440 185.625 0.00127691176661844
253952 186 0.0012768686421686
254464 186.375 0.00127682460272123
254976 186.75 0.00127677962979896
255488 187.125 0.00127673368095695
256000 187.5 0.00127668697650557
256512 187.875 0.00127663954551893
257024 188.25 0.00127659129561331
257536 188.625 0.00127654242753558
258048 189 0.00127649316369207
258560 189.375 0.00127644342435519
259072 189.75 0.00127639330386019
259584 190.125 0.00127634303637112
260096 190.5 0.00127629264141028
260608 190.875 0.001276242262385
261120 191.25 0.00127619214294711
261632 191.625 0.00127614229496243
262144 192 0.00127609277120569
262656 192.375 0.00127604389872402
263168 192.75 0.00127599578487573
263680 193.125 0.00127594841709467
264192 193.5 0.00127590207419385
264704 193.875 0.0012758569023361
265216 194.25 0.00127581294535288
265728 194.625 0.00127577041816931
266240 195 0.00127572941938744
266752 195.375 0.00127569005406376
267264 195.75 0.0012756525065798
267776 196.125 0.00127561676011131
268288 196.5 0.00127558296246545
268800 196.875 0.00127555133363325
269312 197.25 0.00127552180968644
269824 197.625 0.00127549446110634
270336 198 0.00127546940478279
270848 198.375 0.00127544662110783
271360 198.75 0.00127542619979095
271872 199.125 0.0012754081703028
272384 199.5 0.00127539247965769
272896 199.875 0.00127537913419351
273408 200.25 0.00127536812175033
273920 200.625 0.00127535947412386
274432 201 0.00127535312323429
274944 201.375 0.00127534891325109
275456 201.75 0.00127534687588207
275968 202.125 0.00127534700186211
276480 202.5 0.00127534912345863
276992 202.875 0.00127535315640827
277504 203.25 0.00127535903689049
278016 203.625 0.0012753666413138
278528 204 0.00127537590784531
279040 204.375 0.00127538673986546
279552 204.75 0.00127539901948069
280064 205.125 0.00127541262578723
280576 205.5 0.00127542744756006
281088 205.875 0.00127544344224442
281600 206.25 0.00127546050577879
282112 206.625 0.00127547852204066
282624 207 0.00127549738505605
283136 207.375 0.00127551704588261
283648 207.75 0.00127553750230873
284160 208.125 0.00127555861659466
284672 208.5 0.00127558026074662
285184 208.875 0.00127560250666062
285696 209.25 0.00127562534407319
286208 209.625 0.00127564864701888
286720 210 0.00127567242733102
287232 210.375 0.0012756966574915
287744 210.75 0.00127572133904499
288256 211.125 0.00127574653346682
288768 211.5 0.00127577216679061
