# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 14 2024 at 16:52:33+0200
# parameter filename: "TOV_lev3_r12_r10_res.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
# Run ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
92160 67.5 -1.04617902090317e-05 -1.04642390573394e-05 -1.04613941920364e-05
92672 67.875 -1.02243931380531e-05 -1.02271758977616e-05 -1.02274929867565e-05
93184 68.25 -9.90093063874734e-06 -9.90407489369597e-06 -9.9011582309968e-06
93696 68.625 -9.8450772928222e-06 -9.84957816438122e-06 -9.8432549224678e-06
94208 69 -9.69198522492328e-06 -9.69510262458692e-06 -9.69023079045417e-06
94720 69.375 -9.49070870323014e-06 -9.49357886954323e-06 -9.48864391296525e-06
95232 69.75 -9.2602177368216e-06 -9.2609840964472e-06 -9.25655113390948e-06
95744 70.125 -8.97210260886073e-06 -8.97250428192117e-06 -8.96793424726045e-06
96256 70.5 -8.61956024213858e-06 -8.62179865569598e-06 -8.61647293517903e-06
96768 70.875 -8.52991382458291e-06 -8.53189693770904e-06 -8.52648363855999e-06
97280 71.25 -8.2770484338705e-06 -8.27861514316017e-06 -8.27328401512739e-06
97792 71.625 -7.88827490940002e-06 -7.88932905141568e-06 -7.88418926931508e-06
98304 72 -7.58658750939172e-06 -7.58493374829784e-06 -7.5801788632867e-06
98816 72.375 -7.25284537002038e-06 -7.25094273435428e-06 -7.24623288537626e-06
99328 72.75 -7.03648954715379e-06 -7.03586334179114e-06 -7.03145125732119e-06
99840 73.125 -6.83595067395575e-06 -6.8348157785447e-06 -6.83070983899805e-06
100352 73.5 -6.43941841839608e-06 -6.43782892982679e-06 -6.4339411073168e-06
100864 73.875 -6.06448943741239e-06 -6.06336442525748e-06 -6.06054494093755e-06
101376 74.25 -5.76270288983803e-06 -5.75848696961536e-06 -5.7584389074168e-06
