# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 12 2024 at 15:46:38+0200
# parameter filename: "TOV_lev3_r12_r10.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
# Run ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
114176 111.5 2.51039101196636e-07 2.50903572090995e-07 2.5093638743025e-07
114688 112 2.43924285591755e-07 2.43828320163864e-07 2.43814359952039e-07
115200 112.5 2.47984644223186e-07 2.47914551730944e-07 2.47928111996039e-07
115712 113 2.47447212110158e-07 2.47428927381752e-07 2.47411877753828e-07
116224 113.5 2.43711273414125e-07 2.43670015370626e-07 2.43651492516618e-07
116736 114 2.46170681524668e-07 2.46132911921789e-07 2.46095938521643e-07
117248 114.5 2.46238052788323e-07 2.46221448329693e-07 2.46142605536364e-07
117760 115 2.37511521837562e-07 2.37530105259441e-07 2.37406163646724e-07
118272 115.5 2.39184026632251e-07 2.39209324641338e-07 2.39122772083341e-07
118784 116 2.41560804325279e-07 2.41574386008746e-07 2.41505033819817e-07
119296 116.5 2.37110013765191e-07 2.37136411945057e-07 2.37086811324736e-07
119808 117 2.31802439562807e-07 2.31858826130712e-07 2.3177872932605e-07
120320 117.5 2.28483825703549e-07 2.28535555536385e-07 2.28485777477435e-07
120832 118 2.29667129356016e-07 2.29725740941069e-07 2.29664458377598e-07
121344 118.5 2.28777648994115e-07 2.28776850690885e-07 2.28760914597497e-07
121856 119 2.24092240072359e-07 2.24103609804485e-07 2.24135032668574e-07
122368 119.5 2.26383683309159e-07 2.26448370438691e-07 2.26439955230563e-07
122880 120 2.2589620810835e-07 2.25958625195796e-07 2.25944141572177e-07
123392 120.5 2.2165439786563e-07 2.21708311311405e-07 2.21708377385155e-07
123904 121 2.21262741558439e-07 2.21316915844851e-07 2.2129384116103e-07
124416 121.5 2.1927720099079e-07 2.19300988744304e-07 2.19277982957981e-07
124928 122 2.14957220929764e-07 2.14907806794907e-07 2.14919785018802e-07
125440 122.5 2.12927238102446e-07 2.12889187635439e-07 2.12894117648887e-07
125952 123 2.14562697762867e-07 2.14521945718252e-07 2.14537540300634e-07
126464 123.5 2.13227781529502e-07 2.13184879273976e-07 2.13194318363949e-07
126976 124 2.12347049287931e-07 2.12296628996696e-07 2.12304299688185e-07
127488 124.5 2.1271414902862e-07 2.12689231811028e-07 2.12697308368998e-07
128000 125 2.10393668366144e-07 2.1035675265984e-07 2.1038333781035e-07
128512 125.5 2.0790320902096e-07 2.07811928843534e-07 2.0791395469547e-07
129024 126 2.0531870980254e-07 2.05236172267795e-07 2.05343948787194e-07
129536 126.5 2.08202527216016e-07 2.08121709861267e-07 2.08245310587476e-07
130048 127 2.01451751203838e-07 2.01363989913011e-07 2.01468138104746e-07
130560 127.5 2.06401394024417e-07 2.06310999700816e-07 2.064582331428e-07
131072 128 2.05411362829804e-07 2.05310431028811e-07 2.0545029261126e-07
131584 128.5 2.03010084789399e-07 2.02908856756115e-07 2.03035781830403e-07
132096 129 2.04124800345796e-07 2.04039555758408e-07 2.04179052381425e-07
132608 129.5 1.99673466977231e-07 1.9955278349567e-07 1.99742273201748e-07
133120 130 1.97097525239444e-07 1.96958652764456e-07 1.97122025653282e-07
133632 130.5 1.94785172229695e-07 1.9464413352564e-07 1.94812971648341e-07
134144 131 1.92532317111242e-07 1.92403856038141e-07 1.92552941325284e-07
134656 131.5 1.92818140715762e-07 1.92676882644254e-07 1.92829960914252e-07
135168 132 1.96121044963686e-07 1.95997260703202e-07 1.96147247630915e-07
135680 132.5 1.91136531962342e-07 1.91005426359868e-07 1.91100597295781e-07
136192 133 1.8901021184445e-07 1.88879471027046e-07 1.88974128790729e-07
136704 133.5 1.86449051931155e-07 1.86292176335189e-07 1.86420183011845e-07
137216 134 1.86481485679238e-07 1.86295660462089e-07 1.86417963755039e-07
137728 134.5 1.84906440309597e-07 1.8475831517943e-07 1.84875484206168e-07
138240 135 1.81961896232223e-07 1.81821419800514e-07 1.81917489115592e-07
138752 135.5 1.83690983710466e-07 1.83589713464465e-07 1.83662776379254e-07
139264 136 1.81297115846898e-07 1.81157659745886e-07 1.81268277817837e-07
139776 136.5 1.83534088381442e-07 1.83415299220532e-07 1.83480084721268e-07
140288 137 1.8058686635949e-07 1.80468711546825e-07 1.80500956112194e-07
140800 137.5 1.78527270104637e-07 1.78350660405838e-07 1.78433928414339e-07
141312 138 1.78333424378454e-07 1.7819240490637e-07 1.7821143721916e-07
141824 138.5 1.80044077424151e-07 1.79886494230382e-07 1.79926104138786e-07
142336 139 1.76167815055744e-07 1.76006367373972e-07 1.76019042133366e-07
142848 139.5 1.75065064932431e-07 1.74924691719279e-07 1.7490938053953e-07
143360 140 1.76218648201974e-07 1.76102911944818e-07 1.7606341240251e-07
143872 140.5 1.75072095569972e-07 1.74941012765509e-07 1.74915425424707e-07
