# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 12 2024 at 15:46:38+0200
# parameter filename: "TOV_lev3_r12_r10.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
# Run ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
108032 105.5 -9.92831482616572e-07 -9.9274499986267e-07 -9.9278409678732e-07
108544 106 -9.83260506176462e-07 -9.83144266159679e-07 -9.83279678910871e-07
109056 106.5 -9.89992623193292e-07 -9.89994669213132e-07 -9.89965852058959e-07
109568 107 -9.89539874445932e-07 -9.89426386863559e-07 -9.89579480610441e-07
110080 107.5 -9.77873952376492e-07 -9.77809826833877e-07 -9.77890289229241e-07
110592 108 -9.82172533252857e-07 -9.82069073540279e-07 -9.82162716815097e-07
111104 108.5 -9.74898754110373e-07 -9.74837945845616e-07 -9.74865611641107e-07
111616 109 -9.7314646918126e-07 -9.73067521360235e-07 -9.73047047834437e-07
112128 109.5 -9.67115021887554e-07 -9.67013374992879e-07 -9.67152348270855e-07
112640 110 -9.65809397212077e-07 -9.6573914726121e-07 -9.65868885669185e-07
113152 110.5 -9.60997309731391e-07 -9.60926340494663e-07 -9.61058935255425e-07
113664 111 -9.56023413797992e-07 -9.55949749631359e-07 -9.5604429089246e-07
114176 111.5 -9.55388870742403e-07 -9.55334501926152e-07 -9.55293335002662e-07
114688 112 -9.47597625238284e-07 -9.476000431408e-07 -9.47536089464783e-07
115200 112.5 -9.44458295738729e-07 -9.44499605012501e-07 -9.44468089061869e-07
115712 113 -9.39960325123546e-07 -9.39999131888495e-07 -9.39971354039723e-07
116224 113.5 -9.33613564127453e-07 -9.33642921906098e-07 -9.33620354235273e-07
116736 114 -9.36101483477205e-07 -9.36153924478435e-07 -9.36100526009736e-07
117248 114.5 -9.25560974677231e-07 -9.25593631708028e-07 -9.25586966806544e-07
117760 115 -9.23507025220572e-07 -9.23532525401247e-07 -9.23570636307164e-07
118272 115.5 -9.18294725168929e-07 -9.18330253389925e-07 -9.18340010277853e-07
118784 116 -9.14337624613054e-07 -9.14360567085681e-07 -9.14356993884206e-07
119296 116.5 -9.13327435969276e-07 -9.13374120070786e-07 -9.1328646587212e-07
119808 117 -9.06439519680338e-07 -9.06550635029125e-07 -9.06417917675599e-07
120320 117.5 -9.02089875470849e-07 -9.02190404399115e-07 -9.02073105528332e-07
120832 118 -8.99711441874351e-07 -8.99792656691289e-07 -8.99692424031785e-07
121344 118.5 -8.90065662925591e-07 -8.90090960869889e-07 -8.90029092571846e-07
121856 119 -8.81438884024833e-07 -8.81493489042151e-07 -8.81416759401911e-07
122368 119.5 -8.71003880666094e-07 -8.7105431399637e-07 -8.70996563060265e-07
122880 120 -8.68467699074603e-07 -8.68478050635995e-07 -8.6843703498772e-07
123392 120.5 -8.61809033804128e-07 -8.61809420781238e-07 -8.61765810350565e-07
123904 121 -8.57334646652272e-07 -8.57407460552438e-07 -8.57447355132464e-07
124416 121.5 -8.51766550795168e-07 -8.5181804068622e-07 -8.51868320727126e-07
124928 122 -8.45009275721538e-07 -8.45050191498926e-07 -8.45105236850574e-07
125440 122.5 -8.35641743193643e-07 -8.35621010732945e-07 -8.35632317369753e-07
125952 123 -8.29827049503241e-07 -8.29814235574143e-07 -8.29853959054806e-07
126464 123.5 -8.28313199826461e-07 -8.28272615940245e-07 -8.28320442024256e-07
126976 124 -8.24092650317023e-07 -8.24076708393269e-07 -8.24095302890451e-07
127488 124.5 -8.21274692072641e-07 -8.21174485453137e-07 -8.2119348339939e-07
128000 125 -8.20364619090994e-07 -8.2027916317343e-07 -8.20335664113271e-07
128512 125.5 -8.20011403045738e-07 -8.19971460749141e-07 -8.19974757547604e-07
129024 126 -8.13851864987685e-07 -8.13795203430665e-07 -8.13820853670018e-07
129536 126.5 -8.11391174832203e-07 -8.1119442090973e-07 -8.11326511737059e-07
130048 127 -7.99507584469174e-07 -7.99392404784851e-07 -7.99478825158954e-07
130560 127.5 -8.00161182235242e-07 -8.00090870241066e-07 -8.00085634743966e-07
131072 128 -8.01593662729685e-07 -8.01491735505035e-07 -8.01498230143771e-07
