# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 12 2024 at 15:46:38+0200
# parameter filename: "TOV_lev3_r12_r10.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
# Run ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
#
# HYDROBASE::rho (hydrobase-rho)
# 1:iteration 2:time 3:data
# data columns: 3:rho
155136 151.5 0.00127690810174631
155648 152 0.00127683435140514
156160 152.5 0.00127676288930146
156672 153 0.00127669396239839
157184 153.5 0.00127662753260878
157696 154 0.00127656302835249
158208 154.5 0.00127650069646117
158720 155 0.00127644093691718
159232 155.5 0.00127638367181316
159744 156 0.00127632843723844
160256 156.5 0.00127627517564367
160768 157 0.00127622492851674
161280 157.5 0.00127617686995146
161792 158 0.00127613062786173
162304 158.5 0.00127608725163299
162816 159 0.00127604626479432
163328 159.5 0.00127600700635024
163840 160 0.00127596997333982
164352 160.5 0.00127593602204282
164864 161 0.00127590397800682
165376 161.5 0.00127587299235829
165888 162 0.00127584481555842
166400 162.5 0.00127581915135851
166912 163 0.00127579423110633
167424 163.5 0.0012757708666466
167936 164 0.00127574981662558
168448 164.5 0.0012757299736918
168960 165 0.0012757105638763
169472 165.5 0.00127569231973294
169984 166 0.00127567548026556
170496 166.5 0.00127565869471908
171008 167 0.0012756419050507
171520 167.5 0.00127562553161843
172032 168 0.00127560903327641
172544 168.5 0.00127559211634074
173056 169 0.00127557448133952
173568 169.5 0.00127555575451472
174080 170 0.00127553611631709
174592 170.5 0.00127551562667242
175104 171 0.00127549302107489
175616 171.5 0.00127546840864726
176128 172 0.00127544264356818
176640 172.5 0.00127541486357922
177152 173 0.00127538443170938
177664 173.5 0.00127535143918341
178176 174 0.00127531667306144
178688 174.5 0.00127527974068597
179200 175 0.00127523942620517
179712 175.5 0.00127519673947119
180224 176 0.00127515220024681
180736 176.5 0.00127510501402023
181248 177 0.00127505475685867
181760 177.5 0.00127500256418749
182272 178 0.00127494873972568
182784 178.5 0.00127489215301182
183296 179 0.0012748334191623
183808 179.5 0.0012747732906887
184320 180 0.00127471163059365
184832 180.5 0.00127464826064641
185344 181 0.00127458353605247
185856 181.5 0.00127451792041551
186368 182 0.001274451424468
186880 182.5 0.00127438432749731
187392 183 0.00127431687137504
187904 183.5 0.00127424892288856
188416 184 0.00127418121497893
188928 184.5 0.00127411397386385
189440 185 0.00127404679338807
189952 185.5 0.00127398025797521
190464 186 0.00127391491021064
190976 186.5 0.00127385036743915
191488 187 0.00127378670363197
192000 187.5 0.00127372501070493
192512 188 0.00127366448900026
193024 188.5 0.00127360509545095
193536 189 0.00127354810590754
194048 189.5 0.00127349274415652
194560 190 0.00127343892683122
195072 190.5 0.00127338714910656
195584 191 0.00127333736839046
196096 191.5 0.00127328971347496
196608 192 0.00127324386684396
197120 192.5 0.00127319970656306
197632 193 0.00127315766165925
198144 193.5 0.00127311782249979
198656 194 0.00127307951844245
199168 194.5 0.00127304271659205
199680 195 0.00127300795511269
200192 195.5 0.0012729750722788
200704 196 0.0012729435380591
201216 196.5 0.00127291333627865
201728 197 0.00127288497228171
202240 197.5 0.00127285817267833
202752 198 0.00127283251992274
203264 198.5 0.00127280821466503
203776 199 0.00127278544843374
204288 199.5 0.00127276423006711
204800 200 0.00127274425440045
205312 200.5 0.00127272550843851
205824 201 0.00127270836213581
206336 201.5 0.00127269290337473
206848 202 0.00127267900750532
207360 202.5 0.00127266625708462
207872 203 0.00127265552892838
208384 203.5 0.00127264727473238
208896 204 0.00127264014684857
209408 204.5 0.00127263485400877
209920 205 0.00127263241401451
210432 205.5 0.00127263223200563
210944 206 0.00127263390510565
211456 206.5 0.00127263801872021
211968 207 0.00127264535524842
212480 207.5 0.00127265520406031
212992 208 0.00127266729969505
213504 208.5 0.00127268265860281
214016 209 0.00127270136205097
214528 209.5 0.00127272265683809
215040 210 0.00127274687777243
215552 210.5 0.00127277478004972
216064 211 0.00127280575352013
216576 211.5 0.00127283951095407
217088 212 0.00127287677960655
217600 212.5 0.00127291748950386
218112 213 0.00127296097576704
218624 213.5 0.00127300750019804
219136 214 0.00127305746656037
219648 214.5 0.0012731102488362
220160 215 0.00127316564164234
220672 215.5 0.00127322404582845
221184 216 0.00127328513028406
221696 216.5 0.00127334858295298
222208 217 0.0012734143815093
222720 217.5 0.00127348223337534
223232 218 0.00127355230715383
223744 218.5 0.00127362434330497
224256 219 0.00127369760484004
224768 219.5 0.00127377226479133
225280 220 0.00127384852080848
225792 220.5 0.00127392570191666
226304 221 0.0012740033246601
226816 221.5 0.00127408163721855
227328 222 0.00127416053590013
227840 222.5 0.00127423937543792
228352 223 0.00127431800296476
228864 223.5 0.00127439653905588
229376 224 0.00127447456096865
229888 224.5 0.00127455185921853
230400 225 0.00127462840291916
230912 225.5 0.00127470378009078
231424 226 0.00127477808974312
231936 226.5 0.00127485128916375
232448 227 0.00127492281689657
232960 227.5 0.00127499275090311
233472 228 0.00127506119482649
233984 228.5 0.00127512802104151
234496 229 0.00127519297872874
235008 229.5 0.00127525585156703
235520 230 0.00127531707698849
236032 230.5 0.00127537664268736
236544 231 0.00127543402301636
237056 231.5 0.00127548938382724
237568 232 0.00127554324987663
238080 232.5 0.00127559541332109
238592 233 0.00127564550430167
239104 233.5 0.0012756939691357
239616 234 0.00127574107415521
240128 234.5 0.00127578676416282
240640 235 0.00127583088622983
241152 235.5 0.001275873691028
241664 236 0.00127591565548035
242176 236.5 0.00127595651126832
242688 237 0.00127599633873511
243200 237.5 0.00127603546328305
243712 238 0.00127607402852773
244224 238.5 0.00127611202853802
244736 239 0.0012761493361063
245248 239.5 0.00127618653724528
245760 240 0.00127622363053768
246272 240.5 0.0012762601917351
246784 241 0.0012762966811745
247296 241.5 0.00127633354628777
247808 242 0.00127637044622045
248320 242.5 0.00127640689768236
248832 243 0.00127644379084158
249344 243.5 0.00127648153089114
249856 244 0.00127651884363843
250368 244.5 0.00127655608778716
250880 245 0.00127659437260829
251392 245.5 0.00127663290997353
251904 246 0.00127667114760638
252416 246.5 0.00127670972758738
252928 247 0.00127674892575076
253440 247.5 0.0012767882299161
253952 248 0.00127682730088947
254464 248.5 0.00127686655344657
254976 249 0.00127690615063439
255488 249.5 0.00127694556571227
256000 250 0.00127698464257418
256512 250.5 0.00127702371844282
257024 251 0.00127706267015626
257536 251.5 0.00127710128984102
258048 252 0.00127713945425036
258560 252.5 0.00127717708423289
259072 253 0.00127721442234994
259584 253.5 0.00127725132669553
260096 254 0.00127728738523788
260608 254.5 0.00127732265585206
261120 255 0.00127735757081469
261632 255.5 0.00127739184767172
262144 256 0.0012774249560044
262656 256.5 0.00127745736857865
263168 257 0.001277489258514
263680 257.5 0.00127752023382196
264192 258 0.0012775503132652
264704 258.5 0.0012775795490408
265216 259 0.00127760811155103
265728 259.5 0.00127763604230989
266240 260 0.00127766301440615
266752 260.5 0.00127768921170177
267264 261 0.00127771494373508
267776 261.5 0.00127774001345031
268288 262 0.00127776430568649
268800 262.5 0.00127778802328874
269312 263 0.00127781133013812
269824 263.5 0.00127783408757216
270336 264 0.00127785623999322
270848 264.5 0.00127787803864203
271360 265 0.00127789943699344
271872 265.5 0.00127792036753387
272384 266 0.0012779410007348
272896 266.5 0.00127796124112432
273408 267 0.001277981170001
273920 267.5 0.00127800089424234
274432 268 0.00127802016214319
274944 268.5 0.001278039195691
275456 269 0.00127805819824868
275968 269.5 0.00127807667571059
276480 270 0.00127809472194195
276992 270.5 0.00127811292816732
277504 271 0.00127813081092428
278016 271.5 0.00127814791489635
278528 272 0.00127816489029642
279040 272.5 0.00127818189474429
279552 273 0.00127819819627913
280064 273.5 0.00127821375185127
280576 274 0.00127822909796092
281088 274.5 0.00127824412152296
281600 275 0.00127825824481534
282112 275.5 0.00127827140924713
282624 276 0.00127828410990798
283136 276.5 0.00127829615012735
283648 277 0.00127830686902879
284160 277.5 0.00127831638208713
284672 278 0.00127832513074259
285184 278.5 0.00127833265121134
285696 279 0.00127833841047322
286208 279.5 0.00127834283392164
286720 280 0.00127834589360163
287232 280.5 0.00127834713276249
287744 281 0.00127834655726889
288256 281.5 0.00127834406399047
288768 282 0.00127833965155255
289280 282.5 0.00127833330903995
289792 283 0.00127832474437351
290304 283.5 0.00127831385888014
290816 284 0.00127830076539277
291328 284.5 0.00127828564588263
291840 285 0.00127826807519127
292352 285.5 0.00127824781961334
292864 286 0.00127822560082483
293376 286.5 0.00127820126590777
293888 287 0.00127817419039814
294400 287.5 0.00127814487520465
294912 288 0.00127811375036329
295424 288.5 0.00127808034720656
295936 289 0.00127804467496818
296448 289.5 0.00127800728516758
296960 290 0.00127796812042213
297472 290.5 0.00127792704820121
297984 291 0.00127788442882699
298496 291.5 0.00127784049318812
299008 292 0.00127779508255467
299520 292.5 0.00127774842913185
300032 293 0.00127770090090133
300544 293.5 0.00127765243833598
301056 294 0.00127760312931103
301568 294.5 0.00127755320258022
302080 295 0.00127750292348746
302592 295.5 0.00127745233585805
303104 296 0.00127740139379401
303616 296.5 0.0012773504655693
304128 297 0.00127729966689802
304640 297.5 0.00127724897849804
305152 298 0.00127719861707766
305664 298.5 0.00127714858004144
306176 299 0.00127709899629695
306688 299.5 0.0012770501029455
307200 300 0.00127700177544411
307712 300.5 0.00127695398434644
308224 301 0.00127690698957169
308736 301.5 0.00127686089254271
309248 302 0.0012768154926561
309760 302.5 0.00127677069906571
310272 303 0.00127672682876986
310784 303.5 0.00127668392145564
311296 304 0.00127664157346023
311808 304.5 0.00127659984293282
312320 305 0.00127655899187295
312832 305.5 0.00127651884227219
313344 306 0.00127647915579653
313856 306.5 0.00127643987447728
314368 307 0.00127640116234209
314880 307.5 0.00127636299459716
315392 308 0.00127632490655051
315904 308.5 0.00127628695006637
316416 309 0.0012762493599837
316928 309.5 0.00127621182951662
317440 310 0.00127617417788877
317952 310.5 0.00127613642580613
318464 311 0.00127609858764618
318976 311.5 0.00127606061325705
319488 312 0.00127602232896392
320000 312.5 0.00127598365898963
320512 313 0.00127594471019494
321024 313.5 0.0012759055311103
321536 314 0.00127586593101566
322048 314.5 0.00127582582137061
322560 315 0.00127578548330913
323072 315.5 0.0012757449769322
323584 316 0.00127570398100016
324096 316.5 0.00127566270302667
324608 317 0.00127562148714673
325120 317.5 0.00127558011554329
325632 318 0.00127553854491649
326144 318.5 0.00127549718345898
326656 319 0.00127545615752693
327168 319.5 0.00127541519100866
327680 320 0.00127537453761282
328192 320.5 0.00127533471395389
328704 321 0.00127529545457558
329216 321.5 0.00127525662195251
329728 322 0.00127521884717397
330240 322.5 0.0012751822610376
330752 323 0.0012751464836327
331264 323.5 0.00127511171610176
331776 324 0.00127507844487888
332288 324.5 0.00127504659621417
332800 325 0.00127501586664
333312 325.5 0.00127498650719339
333824 326 0.00127495884956269
334336 326.5 0.00127493272606266
334848 327 0.00127490791986676
335360 327.5 0.00127488456861104
335872 328 0.00127486293949824
336384 328.5 0.00127484284252198
336896 329 0.0012748239854965
337408 329.5 0.0012748065758563
337920 330 0.00127479070581271
338432 330.5 0.00127477615795484
338944 331 0.00127476281483086
339456 331.5 0.00127475066311838
339968 332 0.00127473972989039
340480 332.5 0.0012747300032934
340992 333 0.00127472124040541
341504 333.5 0.00127471326757689
342016 334 0.00127470635590142
342528 334.5 0.00127470041526887
343040 335 0.00127469499752978
343552 335.5 0.00127469024247676
344064 336 0.00127468627211142
344576 336.5 0.00127468285747632
345088 337 0.00127467985405715
345600 337.5 0.00127467721934532
346112 338 0.00127467505590062
346624 338.5 0.00127467326653181
347136 339 0.00127467162349345
347648 339.5 0.00127467017874085
348160 340 0.00127466896759317
348672 340.5 0.00127466789942506
349184 341 0.00127466690313054
349696 341.5 0.00127466589780988
350208 342 0.00127466494575969
350720 342.5 0.00127466411022821
351232 343 0.00127466320872266
351744 343.5 0.00127466220512302
352256 344 0.00127466130669262
352768 344.5 0.00127466047404433
353280 345 0.00127465952192118
353792 345.5 0.00127465861047839
354304 346 0.00127465793860072
354816 346.5 0.00127465729824739
355328 347 0.00127465668984695
355840 347.5 0.00127465644960743
356352 348 0.00127465656511479
356864 348.5 0.00127465686926361
357376 349 0.00127465756156249
357888 349.5 0.00127465893529098
358400 350 0.0012746609257318
358912 350.5 0.00127466338561649
359424 351 0.0012746666172267
359936 351.5 0.00127467095190984
360448 352 0.00127467617961417
360960 352.5 0.00127468219600287
361472 353 0.00127468943326714
361984 353.5 0.00127469813161591
362496 354 0.00127470796376931
363008 354.5 0.00127471887916789
363520 355 0.00127473141667229
364032 355.5 0.00127474563593214
364544 356 0.00127476108741554
365056 356.5 0.00127477792348076
365568 357 0.00127479660152011
366080 357.5 0.00127481691456515
366592 358 0.00127483857203353
367104 358.5 0.00127486179225818
367616 359 0.00127488671617878
368128 359.5 0.0012749132137387
368640 360 0.00127494111346554
369152 360.5 0.00127497041807436
369664 361 0.00127500125074237
370176 361.5 0.00127503354511058
370688 362 0.00127506708182563
371200 362.5 0.00127510179184453
371712 363 0.00127513781092335
372224 363.5 0.00127517506185456
372736 364 0.0012752132661115
373248 364.5 0.00127525241157574
373760 365 0.00127529258786579
374272 365.5 0.00127533364178764
374784 366 0.00127537539190412
375296 366.5 0.00127541783245306
375808 367 0.00127546090959826
376320 367.5 0.00127550453303031
376832 368 0.00127554862239474
377344 368.5 0.00127559300803963
377856 369 0.00127563768469311
378368 369.5 0.0012756826562148
378880 370 0.00127572769562741
379392 370.5 0.00127577271515865
379904 371 0.00127581778386542
380416 371.5 0.00127586275362628
380928 372 0.00127590746797666
381440 372.5 0.00127595196746405
381952 373 0.00127599617689445
382464 373.5 0.00127603995644361
382976 374 0.00127608329899985
383488 374.5 0.00127612618044464
384000 375 0.00127616851573445
384512 375.5 0.00127621024994007
385024 376 0.00127625136858133
385536 376.5 0.00127629188137878
386048 377 0.00127633176269612
386560 377.5 0.00127637091013165
387072 378 0.00127640936218153
387584 378.5 0.00127644725046866
388096 379 0.00127648447085257
388608 379.5 0.00127652094346428
389120 380 0.00127655683576726
389632 380.5 0.00127659225613072
390144 381 0.00127662711678595
390656 381.5 0.00127666136753508
391168 382 0.0012766951987781
391680 382.5 0.00127672877919778
