# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 12 2024 at 15:46:38+0200
# parameter filename: "TOV_lev3_r12_r10.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
# Run ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
#
# HYDROBASE::eps (hydrobase-eps)
# 1:iteration 2:time 3:data
# data columns: 3:eps
312320 305 0.127655899187295
312832 305.5 0.127651884227219
313344 306 0.127647915579653
313856 306.5 0.127643987447728
314368 307 0.127640116234209
314880 307.5 0.127636299459716
315392 308 0.127632490655051
315904 308.5 0.127628695006637
316416 309 0.12762493599837
316928 309.5 0.127621182951662
317440 310 0.127617417788877
317952 310.5 0.127613642580613
318464 311 0.127609858764618
318976 311.5 0.127606061325705
319488 312 0.127602232896392
320000 312.5 0.127598365898963
320512 313 0.127594471019494
321024 313.5 0.12759055311103
321536 314 0.127586593101566
322048 314.5 0.127582582137061
322560 315 0.127578548330913
323072 315.5 0.127574497693219
323584 316 0.127570398100015
324096 316.5 0.127566270302667
324608 317 0.127562148714672
325120 317.5 0.127558011554329
325632 318 0.127553854491649
326144 318.5 0.127549718345897
326656 319 0.127545615752693
327168 319.5 0.127541519100866
327680 320 0.127537453761282
328192 320.5 0.127533471395389
328704 321 0.127529545457558
329216 321.5 0.127525662195251
329728 322 0.127521884717396
330240 322.5 0.12751822610376
330752 323 0.12751464836327
331264 323.5 0.127511171610176
331776 324 0.127507844487887
332288 324.5 0.127504659621416
332800 325 0.127501586664
333312 325.5 0.127498650719338
333824 326 0.127495884956269
334336 326.5 0.127493272606266
334848 327 0.127490791986676
335360 327.5 0.127488456861104
335872 328 0.127486293949824
336384 328.5 0.127484284252198
336896 329 0.12748239854965
337408 329.5 0.12748065758563
337920 330 0.127479070581271
338432 330.5 0.127477615795484
338944 331 0.127476281483086
339456 331.5 0.127475066311838
339968 332 0.127473972989038
340480 332.5 0.127473000329339
340992 333 0.127472124040541
341504 333.5 0.127471326757689
342016 334 0.127470635590142
342528 334.5 0.127470041526887
343040 335 0.127469499752977
343552 335.5 0.127469024247676
344064 336 0.127468627211142
344576 336.5 0.127468285747631
345088 337 0.127467985405715
345600 337.5 0.127467721934532
346112 338 0.127467505590062
346624 338.5 0.127467326653181
347136 339 0.127467162349345
347648 339.5 0.127467017874085
348160 340 0.127466896759316
348672 340.5 0.127466789942505
349184 341 0.127466690313054
349696 341.5 0.127466589780988
350208 342 0.127466494575968
350720 342.5 0.127466411022821
351232 343 0.127466320872266
351744 343.5 0.127466220512302
352256 344 0.127466130669262
352768 344.5 0.127466047404433
353280 345 0.127465952192118
353792 345.5 0.127465861047838
354304 346 0.127465793860071
354816 346.5 0.127465729824739
355328 347 0.127465668984695
355840 347.5 0.127465644960743
356352 348 0.127465656511479
356864 348.5 0.127465686926361
