# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 12 2024 at 15:46:38+0200
# parameter filename: "TOV_lev3_r12_r10.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
# Run ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
#
# HYDROBASE::w_lorentz (hydrobase-w_lorentz)
# 1:iteration 2:time 3:data
# data columns: 3:w_lorentz
310784 303.5 1.07401475089517
311296 304 1.07254347976068
311808 304.5 1.07058567190398
312320 305 1.06902798126599
312832 305.5 1.06914669278624
313344 306 1.06940517905643
313856 306.5 1.07073345038747
314368 307 1.07166440961524
314880 307.5 1.0727387931454
315392 308 1.07385280621108
315904 308.5 1.07486136745268
316416 309 1.07582455385098
316928 309.5 1.07650209479062
317440 310 1.07616680088167
317952 310.5 1.07782210041076
318464 311 1.08004296170865
318976 311.5 1.0819571606433
319488 312 1.08346133489149
320000 312.5 1.0842962151354
320512 313 1.08407062351417
321024 313.5 1.08123912249941
321536 314 1.08144320815084
322048 314.5 1.08188342797483
322560 315 1.08147009382055
323072 315.5 1.08038548160399
323584 316 1.07837284504635
324096 316.5 1.07830727626387
324608 317 1.07258482379215
325120 317.5 1.07146308202169
325632 318 1.07441955745367
326144 318.5 1.0766739708644
326656 319 1.0781181016427
327168 319.5 1.08065020666868
327680 320 1.0820613140724
328192 320.5 1.08584708081678
328704 321 1.08942512516096
329216 321.5 1.09237214005348
329728 322 1.09436211623199
330240 322.5 1.09442735768593
330752 323 1.09088344521223
331264 323.5 1.08782502278725
331776 324 1.08582479614133
332288 324.5 1.08454763732148
332800 325 1.08150112810217
333312 325.5 1.08224017595242
333824 326 1.08255018581138
334336 326.5 1.08266263282552
334848 327 1.08231835125161
335360 327.5 1.0812175005284
335872 328 1.07779746866149
336384 328.5 1.0765702528927
336896 329 1.07678265497189
337408 329.5 1.07685683629067
337920 330 1.07788586888809
338432 330.5 1.07833710475004
338944 331 1.07856645987573
339456 331.5 1.07965530977034
339968 332 1.08076895923413
340480 332.5 1.08127611902429
340992 333 1.08020387368753
341504 333.5 1.07881131013491
342016 334 1.07688324452084
342528 334.5 1.07581867632231
343040 335 1.07530132380342
343552 335.5 1.07603678728514
344064 336 1.07653408918316
344576 336.5 1.07663669727708
345088 337 1.07636239353164
345600 337.5 1.07576992711685
346112 338 1.07646276365259
346624 338.5 1.07646244629902
347136 339 1.07599191650387
347648 339.5 1.07529013076588
348160 340 1.07555715246336
348672 340.5 1.07588075104059
349184 341 1.07616500961752
349696 341.5 1.0764034144631
350208 342 1.07753029131254
350720 342.5 1.07840242729378
351232 343 1.07877936726966
351744 343.5 1.07953532807501
352256 344 1.08147603209262
352768 344.5 1.08298917072224
353280 345 1.08375549864119
353792 345.5 1.08396433187825
354304 346 1.08340913462516
354816 346.5 1.0828083781963
355328 347 1.08242971223638
355840 347.5 1.08100548289289
356352 348 1.07804471511635
356864 348.5 1.08054613287983
357376 349 1.08355717077351
357888 349.5 1.0859624068829
358400 350 1.08814570225913
358912 350.5 1.09031408076555
359424 351 1.09128256248904
359936 351.5 1.09074707801079
360448 352 1.0890529379944
360960 352.5 1.08483928056359
361472 353 1.08358109500832
361984 353.5 1.08469725815636
362496 354 1.08533994442914
363008 354.5 1.08522122870258
363520 355 1.08290948826966
364032 355.5 1.08323554672287
364544 356 1.0833408236427
365056 356.5 1.0820215227687
365568 357 1.08165297395444
366080 357.5 1.08156481901
366592 358 1.08120800634547
367104 358.5 1.07998350767981
367616 359 1.07806398563222
368128 359.5 1.07809847120479
368640 360 1.07770579625336
369152 360.5 1.0780426020083
369664 361 1.0782271892191
370176 361.5 1.07814316524373
370688 362 1.07731044274404
371200 362.5 1.07647424819892
371712 363 1.07698459558877
372224 363.5 1.07733637723485
372736 364 1.07748439412827
373248 364.5 1.07703206120464
373760 365 1.07688990692708
374272 365.5 1.07675492580654
374784 366 1.07662608567171
375296 366.5 1.07620605905394
375808 367 1.07707962302602
376320 367.5 1.07762113479603
376832 368 1.07739566338611
377344 368.5 1.07619952357311
377856 369 1.07550047949484
378368 369.5 1.0768648365186
378880 370 1.07808145441877
379392 370.5 1.07912226274496
379904 371 1.08075618871622
380416 371.5 1.08181787328132
380928 372 1.08200082840909
381440 372.5 1.07912147275488
381952 373 1.0797110871635
382464 373.5 1.07931502089897
382976 374 1.08005808807844
383488 374.5 1.08022302082217
384000 375 1.08002535796761
384512 375.5 1.0791942415036
385024 376 1.07854621401641
385536 376.5 1.08016571313337
386048 377 1.08132688091913
386560 377.5 1.08191122380549
387072 378 1.08160541835738
