# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 12 2024 at 15:46:38+0200
# parameter filename: "TOV_lev3_r12_r10.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
# Run ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
258560 252.5 5.35878813480885e-05 5.34533031027567e-05 5.29897462310923e-05
259072 253 5.33492756310979e-05 5.3234622172215e-05 5.27141769292537e-05
259584 253.5 5.301251427748e-05 5.29160043803763e-05 5.23446276040038e-05
260096 254 5.26872403904861e-05 5.26097873634202e-05 5.19945884818769e-05
260608 254.5 5.24697186497166e-05 5.24075380944397e-05 5.17564190802985e-05
261120 255 5.21649080640011e-05 5.21131975985391e-05 5.14297618235424e-05
261632 255.5 5.1836710553763e-05 5.17994730973197e-05 5.10383245725388e-05
262144 256 5.14083703845044e-05 5.13825832138662e-05 5.06614065639917e-05
262656 256.5 5.11071135370214e-05 5.10980422023322e-05 5.04181171104335e-05
263168 257 5.0872182850881e-05 5.08758126906162e-05 5.02493797775488e-05
263680 257.5 5.04767016470725e-05 5.04910501389981e-05 4.99305194117075e-05
264192 258 5.00313869310473e-05 5.00517075885524e-05 4.95640319270151e-05
264704 258.5 4.96889583194564e-05 4.97157587756016e-05 4.9309635690514e-05
265216 259 4.93938315736804e-05 4.94258061393841e-05 4.91078028922216e-05
265728 259.5 4.89930431103996e-05 4.90263526342147e-05 4.88019259336171e-05
266240 260 4.85282788824708e-05 4.85620014059704e-05 4.84364472245902e-05
266752 260.5 4.81350941554399e-05 4.81714820507462e-05 4.81457468840077e-05
267264 261 4.7810449434611e-05 4.78466060068215e-05 4.80348505006916e-05
267776 261.5 4.74386426996445e-05 4.74713780484879e-05 4.7815809462917e-05
268288 262 4.69713927336394e-05 4.70015622107624e-05 4.74531509201652e-05
268800 262.5 4.65217028329376e-05 4.65492459060274e-05 4.72359076797872e-05
269312 263 4.62828397184858e-05 4.63078751180714e-05 4.70984430335327e-05
269824 263.5 4.5942819190349e-05 4.5962852150334e-05 4.68028879889916e-05
270336 264 4.57734690394898e-05 4.57063077570963e-05 4.65057128378596e-05
270848 264.5 4.56251795965997e-05 4.55643837617405e-05 4.62639240371034e-05
271360 265 4.52810782820273e-05 4.52266232251055e-05 4.59939019814871e-05
271872 265.5 4.50454763699484e-05 4.49961862121669e-05 4.57644771692227e-05
272384 266 4.50289663394376e-05 4.49874718614485e-05 4.5527258324256e-05
272896 266.5 4.48614321649821e-05 4.48248152752039e-05 4.53374890765318e-05
273408 267 4.44727707167329e-05 4.44367050195435e-05 4.49220619892197e-05
273920 267.5 4.42599617590179e-05 4.42266394571613e-05 4.46827382900934e-05
274432 268 4.42101212441579e-05 4.41794374243707e-05 4.46056038776671e-05
274944 268.5 4.4011197465579e-05 4.3982865513997e-05 4.43765618364465e-05
275456 269 4.36706240654577e-05 4.36465150222075e-05 4.40056636016314e-05
275968 269.5 4.34261396374965e-05 4.34062421718822e-05 4.37327037696377e-05
276480 270 4.33149338036032e-05 4.33007112042709e-05 4.3589804193037e-05
276992 270.5 4.31342960530615e-05 4.3126017436127e-05 4.33816809662168e-05
277504 271 4.28067071201935e-05 4.28045849240707e-05 4.30319815839394e-05
278016 271.5 4.25111556450693e-05 4.25194192495909e-05 4.27192244700942e-05
278528 272 4.23683972660214e-05 4.2380621643961e-05 4.25623739533388e-05
279040 272.5 4.21689046863422e-05 4.21863317955894e-05 4.23533709299656e-05
279552 273 4.18281929488106e-05 4.1852621528575e-05 4.20112031768654e-05
280064 273.5 4.15425789665509e-05 4.15708404270937e-05 4.17255574293179e-05
280576 274 4.13318944508107e-05 4.13658958597947e-05 4.15197037616532e-05
281088 274.5 4.11014782626501e-05 4.11396173031097e-05 4.12972644322724e-05
281600 275 4.0805579740008e-05 4.08463455372986e-05 4.1014344327655e-05
282112 275.5 4.05048845759671e-05 4.05490210577512e-05 4.07302200213477e-05
282624 276 4.02653127866582e-05 4.03118090208029e-05 4.05087335929048e-05
283136 276.5 4.00103193297493e-05 4.00604737739407e-05 4.02745681007665e-05
283648 277 3.97325452838271e-05 3.9782315955267e-05 4.00220313204077e-05
284160 277.5 3.94665455355044e-05 3.95177582856371e-05 3.97850154249511e-05
284672 278 3.91780950927778e-05 3.92282899254501e-05 3.95231966021842e-05
285184 278.5 3.88908899361897e-05 3.8940127915786e-05 3.92666285027129e-05
285696 279 3.86788014808287e-05 3.87277437151993e-05 3.90853588847367e-05
286208 279.5 3.84537128394832e-05 3.8497260881037e-05 3.88913663683322e-05
286720 280 3.81081134649298e-05 3.81486774107588e-05 3.8577943439311e-05
287232 280.5 3.78009134250703e-05 3.78361712442904e-05 3.83036234721827e-05
287744 281 3.76624475272247e-05 3.76928979536497e-05 3.81982154034041e-05
288256 281.5 3.74493909728445e-05 3.74727795769754e-05 3.80161056883452e-05
288768 282 3.707244514949e-05 3.70904371176002e-05 3.7669613429507e-05
289280 282.5 3.67948993041424e-05 3.6807654081433e-05 3.74254489000872e-05
289792 283 3.66941168779993e-05 3.66985651953666e-05 3.73544833983416e-05
290304 283.5 3.64992201522439e-05 3.64952168173972e-05 3.71873486259753e-05
290816 284 3.61063145637809e-05 3.60952393129779e-05 3.68227985678958e-05
291328 284.5 3.58613861803577e-05 3.58422268170664e-05 3.66068113329908e-05
291840 285 3.58127516592121e-05 3.57858201056492e-05 3.65827968198963e-05
292352 285.5 3.55940910444591e-05 3.55596441468595e-05 3.63857143835197e-05
292864 286 3.52185198497754e-05 3.51769659056602e-05 3.60335558254748e-05
293376 286.5 3.50429521112402e-05 3.49949949988206e-05 3.58779258077012e-05
293888 287 3.49969653567127e-05 3.49422697036875e-05 3.5851488915374e-05
294400 287.5 3.47631940445338e-05 3.4703828847462e-05 3.56351312183942e-05
294912 288 3.44601245422821e-05 3.43940743722241e-05 3.53453109876473e-05
295424 288.5 3.43025959576858e-05 3.42292442403105e-05 3.52005221485771e-05
295936 289 3.42209736528453e-05 3.41448446402382e-05 3.51301523940788e-05
296448 289.5 3.40670908335783e-05 3.39854910991149e-05 3.49815935494974e-05
296960 290 3.38083157726608e-05 3.37197752862799e-05 3.47239065070666e-05
297472 290.5 3.36088343259155e-05 3.35152998717161e-05 3.45228226518337e-05
